Veicolo;Targa;Data (UTC+01:00);Tipo;Partenza;Poi Partenza;Ora (UTC+01:00);Arrivo;Poi Arrivo;Ora (UTC+01:00);km;Guida (minuti);Vel. media (km/h);Sosta motore spento (minuti);Totale sosta acceso (minuti);Vel. massima (km/h);Lat partenza;Lon partenza;Lat arrivo;Lon arrivo
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;12:30:19;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:02:48;0,1;32;0,0;;;9;43.23827;13.389355;43.238228;13.389495
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;13:02:48;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:25:49;0,0;;0,0;83;0;0;43.238228;13.389495;43.238228;13.389495
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:25:49;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;14:32:49;0,6;7;9,0;;;68;43.238228;13.389495;43.238658;13.389626
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;14:32:49;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:04:35;0,0;;0,0;31;0;0;43.238658;13.389626;43.238619;13.389637
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:04:35;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;15:24:56;0,1;20;0,0;;;3;43.238619;13.389637;43.238252;13.389468
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;15:24:56;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:09:51;0,0;;0,0;44;0;0;43.238252;13.389468;43.238413;13.389519
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:09:51;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;16:52:18;0,8;42;2,0;;;16;43.238413;13.389519;43.238308;13.389504
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;16:52:18;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:22:17;0,0;;0,0;29;0;0;43.238308;13.389504;43.238324;13.389427
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:22:17;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:28:08;0,5;5;2,0;;;10;43.238324;13.389427;43.238305;13.3895
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;17:28:08;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:42:52;0,0;;0,0;14;0;0;43.238305;13.3895;43.23834;13.389372
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:42:52;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:56:10;0,1;13;0,0;;;5;43.23834;13.389372;43.238266;13.389498
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;17:56:10;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:00:02;0,0;;0,0;3;0;0;43.238266;13.389498;43.238266;13.389498
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:00:02;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:08:44;0,2;8;0,0;;;5;43.238266;13.389498;43.238216;13.389499
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;18:08:44;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:29:43;0,0;;0,0;20;0;0;43.238216;13.389499;43.238216;13.389499
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:29:43;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:31:23;0,2;61;0,0;;;2;43.238216;13.389499;43.2382;13.389412
NZHE15562;NZHE15562;2024-02-07;PARK_ENGINE_OFF;Sosta a motore spento;;19:31:23;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:55:00;0,0;;0,0;23;0;0;43.2382;13.389412;43.238231;13.389514
NZHE15562;NZHE15562;2024-02-07;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:55:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:57:13;0,1;2;1,0;;;6;43.238231;13.389514;43.238278;13.38935
NZHE15562;NZHE15562;2024-02-07;INACTIVITY;Inattività;;19:57:13;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;0,0;;0,0;;;0;43.238278;13.38935;43.238278;13.38935
NZHE15562;NZHE15562;2024-02-07;Totale;;;;;;;8,8;743;0,0;453;0;68;;;;
NZHE15562;NZHE15562;2024-02-08;INACTIVITY;Inattività;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:07:30;0,0;;0,0;;;0;43.238278;13.38935;43.238275;13.389342
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;06:07:30;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:22:30;4,6;435;0,0;;;13;43.238275;13.389342;43.238605;13.389852
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;13:22:30;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:24:24;0,0;;0,0;1;0;0;43.238605;13.389852;43.238668;13.389847
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:24:24;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:25:19;0,0;0;0,0;;;0;43.238668;13.389847;43.238276;13.389524
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;13:25:19;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:54:42;0,0;;0,0;29;0;0;43.238276;13.389524;43.238276;13.389524
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;13:54:42;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;17:39:35;1,6;224;0,0;;;10;43.238276;13.389524;43.238096;13.389584
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;17:39:35;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:11:28;0,0;;0,0;31;0;0;43.238096;13.389584;43.238118;13.38957
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:11:28;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:19:47;0,2;8;1,0;;;5;43.238118;13.38957;43.238243;13.389393
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;18:19:47;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:28:31;0,0;;0,0;8;0;0;43.238243;13.389393;43.238304;13.38941
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:28:31;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:33:05;0,1;4;1,0;;;5;43.238304;13.38941;43.238207;13.389427
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;18:33:05;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:53:33;0,0;;0,0;20;0;0;43.238207;13.389427;43.238194;13.389521
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:53:33;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;18:56:36;0,0;3;0,0;;;3;43.238194;13.389521;43.237985;13.389738
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;18:56:36;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:29:03;0,0;;0,0;32;0;0;43.237985;13.389738;43.233115;13.394403
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:29:03;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;19:33:15;0,2;4;1,0;;;5;43.233115;13.394403;43.238347;13.389429
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;19:33:15;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:09:17;0,0;;0,0;156;0;0;43.238347;13.389429;43.238298;13.389274
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:09:17;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:21:18;1,1;12;2,0;;;9;43.238298;13.389274;43.238488;13.389651
NZHE15562;NZHE15562;2024-02-08;PARK_ENGINE_OFF;Sosta a motore spento;;22:21:18;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:42:24;0,0;;0,0;21;0;0;43.238488;13.389651;43.238499;13.389519
NZHE15562;NZHE15562;2024-02-08;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;22:42:24;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;23:59:59;4,7;77;2,0;;;64;43.238499;13.389519;43.238288;13.389621
NZHE15562;NZHE15562;2024-02-08;Totale;;;;;;;12,5;770;0,0;301;0;64;;;;
NZHE15562;NZHE15562;2024-02-09;DRIVING;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;00:00:00;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:09:46;3,8;189;1,0;;;11;43.237931;13.39009;43.238057;13.389844
NZHE15562;NZHE15562;2024-02-09;PARK_ENGINE_OFF;Sosta a motore spento;;03:09:46;Contrada Abbadia Di Fiastra, Tolentino, Macerata, Marche, Italia;;03:36:00;0,0;;0,0;26;0;0;43.238057;13.389844;43.23806;13.389943
